track,older_model,newer_model,consecutive_pair,n_paired_questions,metric,older_rate,newer_rate,delta_new_minus_old,delta_new_minus_old_pp,improvement_pp,bootstrap_ci_low_pp,bootstrap_ci_high_pp,mcnemar_b_old1_new0,mcnemar_c_old0_new1,mcnemar_p_exact,threshold
llama_scale_version,"Llama 3.1 8B Instruct (OpenRouter, 2024-07-23)","Llama 3.3 70B Instruct (OpenRouter, 2024-12-06)",True,807,ce_rate,0.07187112763320942,0.17472118959107807,0.10285006195786865,10.285006195786865,-10.285006195786865,7.434944237918216,13.138166047087976,27,110,4.3771621296557597e-13,1.0
llama_scale_version,"Llama 3.1 8B Instruct (OpenRouter, 2024-07-23)",Llama 4 Maverick 17B (Groq),False,797,ce_rate,0.07026348808030113,0.15558343789209536,0.08531994981179424,8.531994981179423,-8.531994981179423,5.646173149309912,11.295483061480551,40,108,2.07222733023048e-08,1.0
llama_scale_version,"Llama 3.3 70B Instruct (OpenRouter, 2024-12-06)",Llama 4 Maverick 17B (Groq),True,797,ce_rate,0.17189460476787954,0.15558343789209536,-0.01631116687578419,-1.631116687578419,1.631116687578419,-5.144291091593475,1.7565872020075282,108,95,0.3997140741780717,1.0
qwen_scale_version,"Qwen2.5 72B Instruct (OpenRouter, 2024-11-26)","Qwen3 30B A3B 2507 (OpenRouter, 2025-07-28)",True,807,accuracy,0.573729863692689,0.5811648079306072,0.007434944237918215,0.7434944237918215,0.7434944237918215,-2.729244114002478,3.717472118959108,87,93,0.7094997422022828,1.0
qwen_scale_version,"Qwen2.5 72B Instruct (OpenRouter, 2024-11-26)",Qwen3 Next 80B (OpenRouter),False,797,accuracy,0.5721455457967378,0.6499372647427855,0.07779171894604768,7.779171894604768,7.779171894604768,3.638644918444166,12.299247176913424,130,192,0.0006524799822370076,1.0
qwen_scale_version,"Qwen2.5 7B Instruct (OpenRouter, 2024-09-16)","Qwen2.5 72B Instruct (OpenRouter, 2024-11-26)",True,807,accuracy,0.45848822800495664,0.573729863692689,0.11524163568773234,11.524163568773234,11.524163568773234,7.9275092936802976,15.241635687732341,69,162,8.471092889071009e-10,1.0
qwen_scale_version,"Qwen2.5 7B Instruct (OpenRouter, 2024-09-16)","Qwen3 30B A3B 2507 (OpenRouter, 2025-07-28)",False,807,accuracy,0.45848822800495664,0.5811648079306072,0.12267657992565056,12.267657992565056,12.267657992565056,8.79801734820322,15.489467162329614,60,159,1.595640237974833e-11,1.0
qwen_scale_version,"Qwen2.5 7B Instruct (OpenRouter, 2024-09-16)",Qwen3 Next 80B (OpenRouter),False,797,accuracy,0.4604767879548306,0.6499372647427855,0.18946047678795483,18.946047678795484,18.946047678795484,15.426599749058969,23.845671267252193,108,259,1.9540833219169444e-15,1.0
qwen_scale_version,"Qwen3 30B A3B 2507 (OpenRouter, 2025-07-28)",Qwen3 Next 80B (OpenRouter),True,797,accuracy,0.5809284818067754,0.6499372647427855,0.06900878293601004,6.900878293601004,6.900878293601004,2.5094102885821834,11.543287327478042,144,199,0.003488125285961698,1.0
qwen_scale_version,"Qwen2.5 72B Instruct (OpenRouter, 2024-11-26)","Qwen3 30B A3B 2507 (OpenRouter, 2025-07-28)",True,807,ce_rate,0.17224287484510534,0.1251548946716233,-0.04708798017348203,-4.708798017348203,4.708798017348203,-7.314126394052045,-1.982651796778191,81,43,0.0008202604148752646,1.0
qwen_scale_version,"Qwen2.5 72B Instruct (OpenRouter, 2024-11-26)",Qwen3 Next 80B (OpenRouter),False,797,ce_rate,0.17063989962358847,0.18444165621079048,0.013801756587202008,1.3801756587202008,-1.3801756587202008,-2.3839397741530743,5.144291091593475,103,114,0.49732674594131726,1.0
qwen_scale_version,"Qwen2.5 7B Instruct (OpenRouter, 2024-09-16)","Qwen2.5 72B Instruct (OpenRouter, 2024-11-26)",True,807,ce_rate,0.1325898389095415,0.17224287484510534,0.03965303593556382,3.965303593556382,-3.965303593556382,1.2391573729863694,6.694547707558857,47,79,0.005536025163897778,1.0
